,Date,State,Country,Deaths
0,2020-11-16,Australian Capital Territory,Australia,3
1,2020-11-16,New South Wales,Australia,53
2,2020-11-16,Northern Territory,Australia,0
3,2020-11-16,Queensland,Australia,6
4,2020-11-16,South Australia,Australia,4
5,2020-11-16,Tasmania,Australia,13
6,2020-11-16,Victoria,Australia,819
7,2020-11-16,Western Australia,Australia,9
8,2020-11-16,Antwerp,Belgium,0
9,2020-11-16,Brussels,Belgium,0
10,2020-11-16,East Flanders,Belgium,0
11,2020-11-16,Flemish Brabant,Belgium,0
12,2020-11-16,Hainaut,Belgium,0
13,2020-11-16,Liege,Belgium,0
14,2020-11-16,Limburg,Belgium,0
15,2020-11-16,Luxembourg,Belgium,0
16,2020-11-16,Namur,Belgium,0
17,2020-11-16,Unknown,Belgium,14421
18,2020-11-16,Walloon Brabant,Belgium,0
19,2020-11-16,West Flanders,Belgium,0
20,2020-11-16,Acre,Brazil,708
21,2020-11-16,Alagoas,Brazil,2295
22,2020-11-16,Amapa,Brazil,777
23,2020-11-16,Amazonas,Brazil,4697
24,2020-11-16,Bahia,Brazil,7943
25,2020-11-16,Ceara,Brazil,9439
26,2020-11-16,Distrito Federal,Brazil,3817
27,2020-11-16,Espirito Santo,Brazil,4009
28,2020-11-16,Goias,Brazil,6034
29,2020-11-16,Maranhao,Brazil,4178
30,2020-11-16,Mato Grosso,Brazil,3986
31,2020-11-16,Mato Grosso do Sul,Brazil,1690
32,2020-11-16,Minas Gerais,Brazil,9507
33,2020-11-16,Para,Brazil,6827
34,2020-11-16,Paraiba,Brazil,3204
35,2020-11-16,Parana,Brazil,5697
36,2020-11-16,Pernambuco,Brazil,8827
37,2020-11-16,Piaui,Brazil,2524
38,2020-11-16,Rio Grande do Norte,Brazil,2641
39,2020-11-16,Rio Grande do Sul,Brazil,6219
40,2020-11-16,Rio de Janeiro,Brazil,21294
41,2020-11-16,Rondonia,Brazil,1501
42,2020-11-16,Roraima,Brazil,706
43,2020-11-16,Santa Catarina,Brazil,3318
44,2020-11-16,Sao Paulo,Brazil,40564
45,2020-11-16,Sergipe,Brazil,2259
46,2020-11-16,Tocantins,Brazil,1137
47,2020-11-16,Alberta,Canada,407
48,2020-11-16,British Columbia,Canada,290
49,2020-11-16,Diamond Princess,Canada,1
50,2020-11-16,Grand Princess,Canada,0
51,2020-11-16,Manitoba,Canada,162
52,2020-11-16,New Brunswick,Canada,6
53,2020-11-16,Newfoundland and Labrador,Canada,4
54,2020-11-16,Northwest Territories,Canada,0
55,2020-11-16,Nova Scotia,Canada,65
56,2020-11-16,Nunavut,Canada,0
57,2020-11-16,Ontario,Canada,3408
58,2020-11-16,Prince Edward Island,Canada,0
59,2020-11-16,Quebec,Canada,6626
60,2020-11-16,Saskatchewan,Canada,31
61,2020-11-16,Yukon,Canada,1
62,2020-11-16,Antofagasta,Chile,550
63,2020-11-16,Araucania,Chile,187
64,2020-11-16,Arica y Parinacota,Chile,195
65,2020-11-16,Atacama,Chile,101
66,2020-11-16,Aysen,Chile,8
67,2020-11-16,Biobio,Chile,546
68,2020-11-16,Coquimbo,Chile,261
69,2020-11-16,Los Lagos,Chile,161
70,2020-11-16,Los Rios,Chile,43
71,2020-11-16,Magallanes,Chile,166
72,2020-11-16,Maule,Chile,450
73,2020-11-16,Metropolitana,Chile,10116
74,2020-11-16,Nuble,Chile,163
75,2020-11-16,OHiggins,Chile,518
76,2020-11-16,Tarapaca,Chile,246
77,2020-11-16,Unknown,Chile,1
78,2020-11-16,Valparaiso,Chile,1107
79,2020-11-16,Anhui,China,6
80,2020-11-16,Beijing,China,9
81,2020-11-16,Chongqing,China,6
82,2020-11-16,Fujian,China,1
83,2020-11-16,Gansu,China,2
84,2020-11-16,Guangdong,China,8
85,2020-11-16,Guangxi,China,2
86,2020-11-16,Guizhou,China,2
87,2020-11-16,Hainan,China,6
88,2020-11-16,Hebei,China,6
89,2020-11-16,Heilongjiang,China,13
90,2020-11-16,Henan,China,22
91,2020-11-16,Hong Kong,China,108
92,2020-11-16,Hubei,China,4512
93,2020-11-16,Hunan,China,4
94,2020-11-16,Inner Mongolia,China,1
95,2020-11-16,Jiangsu,China,0
96,2020-11-16,Jiangxi,China,1
97,2020-11-16,Jilin,China,2
98,2020-11-16,Liaoning,China,2
99,2020-11-16,Macau,China,0
100,2020-11-16,Ningxia,China,0
101,2020-11-16,Qinghai,China,0
102,2020-11-16,Shaanxi,China,3
103,2020-11-16,Shandong,China,7
104,2020-11-16,Shanghai,China,7
105,2020-11-16,Shanxi,China,0
106,2020-11-16,Sichuan,China,3
107,2020-11-16,Tianjin,China,3
108,2020-11-16,Tibet,China,0
109,2020-11-16,Xinjiang,China,3
110,2020-11-16,Yunnan,China,2
111,2020-11-16,Zhejiang,China,1
112,2020-11-16,Amazonas,Colombia,121
113,2020-11-16,Antioquia,Colombia,3644
114,2020-11-16,Arauca,Colombia,108
115,2020-11-16,Atlantico,Colombia,3161
116,2020-11-16,Bolivar,Colombia,875
117,2020-11-16,Boyaca,Colombia,385
118,2020-11-16,Caldas,Colombia,378
119,2020-11-16,Capital District,Colombia,8113
120,2020-11-16,Caqueta,Colombia,431
121,2020-11-16,Casanare,Colombia,131
122,2020-11-16,Cauca,Colombia,406
123,2020-11-16,Cesar,Colombia,860
124,2020-11-16,Choco,Colombia,163
125,2020-11-16,Cordoba,Colombia,1637
126,2020-11-16,Cundinamarca,Colombia,1322
127,2020-11-16,Guainia,Colombia,19
128,2020-11-16,Guaviare,Colombia,26
129,2020-11-16,Huila,Colombia,828
130,2020-11-16,La Guajira,Colombia,437
131,2020-11-16,Magdalena,Colombia,937
132,2020-11-16,Meta,Colombia,584
133,2020-11-16,Narino,Colombia,802
134,2020-11-16,Norte de Santander,Colombia,1215
135,2020-11-16,Putumayo,Colombia,217
136,2020-11-16,Quindio,Colombia,355
137,2020-11-16,Risaralda,Colombia,482
138,2020-11-16,San Andres y Providencia,Colombia,31
139,2020-11-16,Santander,Colombia,1851
140,2020-11-16,Sucre,Colombia,632
141,2020-11-16,Tolima,Colombia,751
142,2020-11-16,Unknown,Colombia,0
143,2020-11-16,Valle del Cauca,Colombia,3106
144,2020-11-16,Vaupes,Colombia,12
145,2020-11-16,Vichada,Colombia,11
146,2020-11-16,Faroe Islands,Denmark,0
147,2020-11-16,Greenland,Denmark,0
148,2020-11-16,French Guiana,France,70
149,2020-11-16,French Polynesia,France,53
150,2020-11-16,Guadeloupe,France,139
151,2020-11-16,Martinique,France,37
152,2020-11-16,Mayotte,France,46
153,2020-11-16,New Caledonia,France,0
154,2020-11-16,Reunion,France,29
155,2020-11-16,Saint Barthelemy,France,0
156,2020-11-16,Saint Pierre and Miquelon,France,0
157,2020-11-16,St Martin,France,12
158,2020-11-16,Baden-Wurttemberg,Germany,2265
159,2020-11-16,Bayern,Germany,3144
160,2020-11-16,Berlin,Germany,363
161,2020-11-16,Brandenburg,Germany,250
162,2020-11-16,Bremen,Germany,97
163,2020-11-16,Hamburg,Germany,313
164,2020-11-16,Hessen,Germany,873
165,2020-11-16,Mecklenburg-Vorpommern,Germany,38
166,2020-11-16,Niedersachsen,Germany,904
167,2020-11-16,Nordrhein-Westfalen,Germany,2637
168,2020-11-16,Rheinland-Pfalz,Germany,363
169,2020-11-16,Saarland,Germany,231
170,2020-11-16,Sachsen,Germany,514
171,2020-11-16,Sachsen-Anhalt,Germany,105
172,2020-11-16,Schleswig-Holstein,Germany,222
173,2020-11-16,Thuringen,Germany,254
174,2020-11-16,Unknown,Germany,0
175,2020-11-16,Andaman and Nicobar Islands,India,61
176,2020-11-16,Andhra Pradesh,India,6868
177,2020-11-16,Arunachal Pradesh,India,48
178,2020-11-16,Assam,India,963
179,2020-11-16,Bihar,India,1184
180,2020-11-16,Chandigarh,India,248
181,2020-11-16,Chhattisgarh,India,2578
182,2020-11-16,Dadra and Nagar Haveli and Daman and Diu,India,2
183,2020-11-16,Delhi,India,7614
184,2020-11-16,Goa,India,662
185,2020-11-16,Gujarat,India,3803
186,2020-11-16,Haryana,India,2019
187,2020-11-16,Himachal Pradesh,India,442
188,2020-11-16,Jammu and Kashmir,India,1589
189,2020-11-16,Jharkhand,India,924
190,2020-11-16,Karnataka,India,11529
191,2020-11-16,Kerala,India,1869
192,2020-11-16,Ladakh,India,89
193,2020-11-16,Lakshadweep,India,0
194,2020-11-16,Madhya Pradesh,India,3090
195,2020-11-16,Maharashtra,India,45974
196,2020-11-16,Manipur,India,221
197,2020-11-16,Meghalaya,India,100
198,2020-11-16,Mizoram,India,4
199,2020-11-16,Nagaland,India,52
200,2020-11-16,Odisha,India,1527
201,2020-11-16,Puducherry,India,608
202,2020-11-16,Punjab,India,4458
203,2020-11-16,Rajasthan,India,2066
204,2020-11-16,Sikkim,India,89
205,2020-11-16,Tamil Nadu,India,11478
206,2020-11-16,Telangana,India,1407
207,2020-11-16,Tripura,India,364
208,2020-11-16,Unknown,India,0
209,2020-11-16,Uttar Pradesh,India,7372
210,2020-11-16,Uttarakhand,India,1107
211,2020-11-16,West Bengal,India,7661
212,2020-11-16,Abruzzo,Italy,679
213,2020-11-16,Basilicata,Italy,79
214,2020-11-16,Calabria,Italy,174
