,Date,State,Country,Confirmed
0,2020-12-05,Australian Capital Territory,Australia,117
1,2020-12-05,New South Wales,Australia,4605
2,2020-12-05,Northern Territory,Australia,59
3,2020-12-05,Queensland,Australia,1210
4,2020-12-05,South Australia,Australia,562
5,2020-12-05,Tasmania,Australia,230
6,2020-12-05,Victoria,Australia,20345
7,2020-12-05,Western Australia,Australia,828
8,2020-12-05,Antwerp,Belgium,69368
9,2020-12-05,Brussels,Belgium,77256
10,2020-12-05,East Flanders,Belgium,55550
11,2020-12-05,Flemish Brabant,Belgium,44818
12,2020-12-05,Hainaut,Belgium,94733
13,2020-12-05,Liege,Belgium,92515
14,2020-12-05,Limburg,Belgium,24971
15,2020-12-05,Luxembourg,Belgium,16655
16,2020-12-05,Namur,Belgium,32746
17,2020-12-05,Unknown,Belgium,9689
18,2020-12-05,Walloon Brabant,Belgium,23440
19,2020-12-05,West Flanders,Belgium,45698
20,2020-12-05,Acre,Brazil,37152
21,2020-12-05,Alagoas,Brazil,95898
22,2020-12-05,Amapa,Brazil,60751
23,2020-12-05,Amazonas,Brazil,181631
24,2020-12-05,Bahia,Brazil,416734
25,2020-12-05,Ceara,Brazil,303868
26,2020-12-05,Distrito Federal,Brazil,232781
27,2020-12-05,Espirito Santo,Brazil,196917
28,2020-12-05,Goias,Brazil,284988
29,2020-12-05,Maranhao,Brazil,194800
30,2020-12-05,Mato Grosso,Brazil,160967
31,2020-12-05,Mato Grosso do Sul,Brazil,103433
32,2020-12-05,Minas Gerais,Brazil,433081
33,2020-12-05,Para,Brazil,273753
34,2020-12-05,Paraiba,Brazil,148003
35,2020-12-05,Parana,Brazil,297411
36,2020-12-05,Pernambuco,Brazil,188132
37,2020-12-05,Piaui,Brazil,129825
38,2020-12-05,Rio Grande do Norte,Brazil,97098
39,2020-12-05,Rio Grande do Sul,Brazil,342035
40,2020-12-05,Rio de Janeiro,Brazil,367641
41,2020-12-05,Rondonia,Brazil,82064
42,2020-12-05,Roraima,Brazil,64317
43,2020-12-05,Santa Catarina,Brazil,389751
44,2020-12-05,Sao Paulo,Brazil,1276149
45,2020-12-05,Sergipe,Brazil,91793
46,2020-12-05,Tocantins,Brazil,82995
47,2020-12-05,Alberta,Canada,64851
48,2020-12-05,British Columbia,Canada,36132
49,2020-12-05,Diamond Princess,Canada,0
50,2020-12-05,Grand Princess,Canada,13
51,2020-12-05,Manitoba,Canada,18069
52,2020-12-05,New Brunswick,Canada,528
53,2020-12-05,Newfoundland and Labrador,Canada,343
54,2020-12-05,Northwest Territories,Canada,15
55,2020-12-05,Nova Scotia,Canada,1358
56,2020-12-05,Nunavut,Canada,206
57,2020-12-05,Ontario,Canada,127130
58,2020-12-05,Prince Edward Island,Canada,73
59,2020-12-05,Quebec,Canada,147877
60,2020-12-05,Repatriated Travellers,Canada,13
61,2020-12-05,Saskatchewan,Canada,9527
62,2020-12-05,Yukon,Canada,54
63,2020-12-05,Antofagasta,Chile,22296
64,2020-12-05,Araucania,Chile,18210
65,2020-12-05,Arica y Parinacota,Chile,10279
66,2020-12-05,Atacama,Chile,8188
67,2020-12-05,Aysen,Chile,1277
68,2020-12-05,Biobio,Chile,37750
69,2020-12-05,Coquimbo,Chile,13206
70,2020-12-05,Los Lagos,Chile,21157
71,2020-12-05,Los Rios,Chile,6429
72,2020-12-05,Magallanes,Chile,14744
73,2020-12-05,Maule,Chile,21322
74,2020-12-05,Metropolitana,Chile,306462
75,2020-12-05,Nuble,Chile,9010
76,2020-12-05,OHiggins,Chile,20048
77,2020-12-05,Tarapaca,Chile,13988
78,2020-12-05,Unknown,Chile,45
79,2020-12-05,Valparaiso,Chile,32724
80,2020-12-05,Anhui,China,992
81,2020-12-05,Beijing,China,952
82,2020-12-05,Chongqing,China,590
