,Date,State,Country,Recovered
0,2020-12-05,Australian Capital Territory,Australia,113
1,2020-12-05,New South Wales,Australia,3186
2,2020-12-05,Northern Territory,Australia,46
3,2020-12-05,Queensland,Australia,1191
4,2020-12-05,South Australia,Australia,551
5,2020-12-05,Tasmania,Australia,217
6,2020-12-05,Victoria,Australia,19525
7,2020-12-05,Western Australia,Australia,805
8,2020-12-05,Antwerp,Belgium,0
9,2020-12-05,Brussels,Belgium,0
10,2020-12-05,East Flanders,Belgium,0
11,2020-12-05,Flemish Brabant,Belgium,0
12,2020-12-05,Hainaut,Belgium,0
13,2020-12-05,Liege,Belgium,0
14,2020-12-05,Limburg,Belgium,0
15,2020-12-05,Luxembourg,Belgium,0
16,2020-12-05,Namur,Belgium,0
17,2020-12-05,Unknown,Belgium,0
18,2020-12-05,Walloon Brabant,Belgium,0
19,2020-12-05,West Flanders,Belgium,0
20,2020-12-05,Acre,Brazil,32050
21,2020-12-05,Alagoas,Brazil,91843
22,2020-12-05,Amapa,Brazil,47459
23,2020-12-05,Amazonas,Brazil,155797
24,2020-12-05,Bahia,Brazil,395721
25,2020-12-05,Ceara,Brazil,253097
26,2020-12-05,Distrito Federal,Brazil,220971
27,2020-12-05,Espirito Santo,Brazil,181964
28,2020-12-05,Goias,Brazil,274612
29,2020-12-05,Maranhao,Brazil,186542
30,2020-12-05,Mato Grosso,Brazil,154040
31,2020-12-05,Mato Grosso do Sul,Brazil,89243
32,2020-12-05,Minas Gerais,Brazil,393588
33,2020-12-05,Para,Brazil,256075
34,2020-12-05,Paraiba,Brazil,119633
35,2020-12-05,Parana,Brazil,211263
36,2020-12-05,Pernambuco,Brazil,165979
37,2020-12-05,Piaui,Brazil,127416
38,2020-12-05,Rio Grande do Norte,Brazil,48821
39,2020-12-05,Rio Grande do Sul,Brazil,312660
40,2020-12-05,Rio de Janeiro,Brazil,335673
41,2020-12-05,Rondonia,Brazil,72192
42,2020-12-05,Roraima,Brazil,60423
43,2020-12-05,Santa Catarina,Brazil,353576
44,2020-12-05,Sao Paulo,Brazil,1126589
45,2020-12-05,Sergipe,Brazil,83907
46,2020-12-05,Tocantins,Brazil,74611
47,2020-12-05,Alberta,Canada,46018
48,2020-12-05,British Columbia,Canada,25658
49,2020-12-05,Diamond Princess,Canada,0
50,2020-12-05,Grand Princess,Canada,13
51,2020-12-05,Manitoba,Canada,8535
52,2020-12-05,New Brunswick,Canada,410
53,2020-12-05,Newfoundland and Labrador,Canada,312
54,2020-12-05,Northwest Territories,Canada,15
55,2020-12-05,Nova Scotia,Canada,1176
56,2020-12-05,Nunavut,Canada,155
57,2020-12-05,Ontario,Canada,109483
58,2020-12-05,Prince Edward Island,Canada,68
59,2020-12-05,Quebec,Canada,127549
60,2020-12-05,Repatriated Travellers,Canada,13
61,2020-12-05,Saskatchewan,Canada,5356
62,2020-12-05,Yukon,Canada,41
63,2020-12-05,Antofagasta,Chile,21521
64,2020-12-05,Araucania,Chile,16969
65,2020-12-05,Arica y Parinacota,Chile,9958
66,2020-12-05,Atacama,Chile,8006
67,2020-12-05,Aysen,Chile,1221
68,2020-12-05,Biobio,Chile,35125
69,2020-12-05,Coquimbo,Chile,12763
70,2020-12-05,Los Lagos,Chile,20026
71,2020-12-05,Los Rios,Chile,5792
72,2020-12-05,Magallanes,Chile,14050
73,2020-12-05,Maule,Chile,20340
74,2020-12-05,Metropolitana,Chile,293566
75,2020-12-05,Nuble,Chile,8468
76,2020-12-05,OHiggins,Chile,19207
77,2020-12-05,Tarapaca,Chile,13472
78,2020-12-05,Unknown,Chile,45
79,2020-12-05,Valparaiso,Chile,31014
80,2020-12-05,Anhui,China,986
81,2020-12-05,Beijing,China,939
82,2020-12-05,Chongqing,China,583
83,2020-12-05,Fujian,China,450
84,2020-12-05,Gansu,China,179
85,2020-12-05,Guangdong,China,1956
86,2020-12-05,Guangxi,China,260
87,2020-12-05,Guizhou,China,145
88,2020-12-05,Hainan,China,165
89,2020-12-05,Hebei,China,366
90,2020-12-05,Heilongjiang,China,936
91,2020-12-05,Henan,China,1265
92,2020-12-05,Hong Kong,China,5465
93,2020-12-05,Hubei,China,63633
94,2020-12-05,Hunan,China,1016
95,2020-12-05,Inner Mongolia,China,306
96,2020-12-05,Jiangsu,China,674
97,2020-12-05,Jiangxi,China,934
98,2020-12-05,Jilin,China,155
99,2020-12-05,Liaoning,China,287
100,2020-12-05,Macau,China,46
101,2020-12-05,Ningxia,China,75
102,2020-12-05,Qinghai,China,18
103,2020-12-05,Shaanxi,China,474
104,2020-12-05,Shandong,China,841
105,2020-12-05,Shanghai,China,1288
106,2020-12-05,Shanxi,China,218
107,2020-12-05,Sichuan,China,776
108,2020-12-05,Tianjin,China,292
109,2020-12-05,Tibet,China,1
110,2020-12-05,Xinjiang,China,977
111,2020-12-05,Yunnan,China,210
112,2020-12-05,Zhejiang,China,1288
113,2020-12-05,Amazonas,Colombia,3019
114,2020-12-05,Antioquia,Colombia,203304
115,2020-12-05,Arauca,Colombia,3857
116,2020-12-05,Atlantico,Colombia,74209
117,2020-12-05,Bolivar,Colombia,37359
118,2020-12-05,Boyaca,Colombia,20511
119,2020-12-05,Caldas,Colombia,23237
120,2020-12-05,Capital District,Colombia,353596
121,2020-12-05,Caqueta,Colombia,12293
122,2020-12-05,Casanare,Colombia,6571
123,2020-12-05,Cauca,Colombia,14551
124,2020-12-05,Cesar,Colombia,27620
125,2020-12-05,Choco,Colombia,4281
126,2020-12-05,Cordoba,Colombia,25784
127,2020-12-05,Cundinamarca,Colombia,49844
128,2020-12-05,Guainia,Colombia,1178
129,2020-12-05,Guaviare,Colombia,1794
130,2020-12-05,Huila,Colombia,28953
131,2020-12-05,La Guajira,Colombia,11253
132,2020-12-05,Magdalena,Colombia,18772
133,2020-12-05,Meta,Colombia,27278
134,2020-12-05,Narino,Colombia,23769
135,2020-12-05,Norte de Santander,Colombia,26856
136,2020-12-05,Putumayo,Colombia,4564
137,2020-12-05,Quindio,Colombia,16138
138,2020-12-05,Risaralda,Colombia,22025
139,2020-12-05,San Andres y Providencia,Colombia,2063
140,2020-12-05,Santander,Colombia,49282
141,2020-12-05,Sucre,Colombia,15571
142,2020-12-05,Tolima,Colombia,28431
143,2020-12-05,Unknown,Colombia,0
144,2020-12-05,Valle del Cauca,Colombia,101014
145,2020-12-05,Vaupes,Colombia,1101
146,2020-12-05,Vichada,Colombia,912
147,2020-12-05,Faroe Islands,Denmark,500
148,2020-12-05,Greenland,Denmark,18
149,2020-12-05,French Guiana,France,9995
150,2020-12-05,French Polynesia,France,4842
151,2020-12-05,Guadeloupe,France,2242
152,2020-12-05,Martinique,France,98
153,2020-12-05,Mayotte,France,2964
154,2020-12-05,New Caledonia,France,32
155,2020-12-05,Reunion,France,7729
156,2020-12-05,Saint Barthelemy,France,105
157,2020-12-05,Saint Pierre and Miquelon,France,14
158,2020-12-05,St Martin,France,641
159,2020-12-05,Baden-Wurttemberg,Germany,116992
160,2020-12-05,Bayern,Germany,162974
161,2020-12-05,Berlin,Germany,49231
162,2020-12-05,Brandenburg,Germany,16601
163,2020-12-05,Bremen,Germany,8936
164,2020-12-05,Hamburg,Germany,18400
165,2020-12-05,Hessen,Germany,65136
166,2020-12-05,Mecklenburg-Vorpommern,Germany,4975
167,2020-12-05,Niedersachsen,Germany,61202
168,2020-12-05,Nordrhein-Westfalen,Germany,209300
169,2020-12-05,Rheinland-Pfalz,Germany,30600
170,2020-12-05,Saarland,Germany,11231
171,2020-12-05,Sachsen,Germany,41260
172,2020-12-05,Sachsen-Anhalt,Germany,9530
173,2020-12-05,Schleswig-Holstein,Germany,12110
174,2020-12-05,Thuringen,Germany,13457
175,2020-12-05,Unknown,Germany,0
176,2020-12-05,Andaman and Nicobar Islands,India,4611
177,2020-12-05,Andhra Pradesh,India,857233
178,2020-12-05,Arunachal Pradesh,India,15561
179,2020-12-05,Assam,India,208967
180,2020-12-05,Bihar,India,229883
181,2020-12-05,Chandigarh,India,16613
182,2020-12-05,Chhattisgarh,India,221690
183,2020-12-05,Dadra and Nagar Haveli and Daman and Diu,India,3326
184,2020-12-05,Delhi,India,548376
185,2020-12-05,Goa,India,46375
186,2020-12-05,Gujarat,India,196992
187,2020-12-05,Haryana,India,223973
188,2020-12-05,Himachal Pradesh,India,34492
189,2020-12-05,Jammu and Kashmir,India,105537
190,2020-12-05,Jharkhand,India,107074
191,2020-12-05,Karnataka,India,853461
192,2020-12-05,Kerala,India,561874
193,2020-12-05,Ladakh,India,7752
194,2020-12-05,Lakshadweep,India,0
195,2020-12-05,Madhya Pradesh,India,194743
196,2020-12-05,Maharashtra,India,1710050
197,2020-12-05,Manipur,India,22445
198,2020-12-05,Meghalaya,India,11319
199,2020-12-05,Mizoram,India,3690
200,2020-12-05,Nagaland,India,10759
201,2020-12-05,Odisha,India,314665
202,2020-12-05,Puducherry,India,36124
203,2020-12-05,Punjab,India,142121
204,2020-12-05,Rajasthan,India,249713
205,2020-12-05,Sikkim,India,4677
206,2020-12-05,Tamil Nadu,India,764854
207,2020-12-05,Telangana,India,262751
208,2020-12-05,Tripura,India,32009
209,2020-12-05,Unknown,India,0
210,2020-12-05,Uttar Pradesh,India,520637
211,2020-12-05,Uttarakhand,India,70626
212,2020-12-05,West Bengal,India,463849
213,2020-12-05,Abruzzo,Italy,10857
214,2020-12-05,Basilicata,Italy,2123
215,2020-12-05,Calabria,Italy,6987
216,2020-12-05,Campania,Italy,58461
217,2020-12-05,Emilia-Romagna,Italy,53931
218,2020-12-05,Friuli Venezia Giulia,Italy,17860
219,2020-12-05,Lazio,Italy,30427
220,2020-12-05,Liguria,Italy,39660
221,2020-12-05,Lombardia,Italy,284073
222,2020-12-05,Marche,Italy,10866
223,2020-12-05,Molise,Italy,2364
224,2020-12-05,P.A. Bolzano,Italy,13092
225,2020-12-05,P.A. Trento,Italy,13475
226,2020-12-05,Piemonte,Italy,100081
227,2020-12-05,Puglia,Italy,16464
228,2020-12-05,Sardegna,Italy,8417
229,2020-12-05,Sicilia,Italy,28188
230,2020-12-05,Toscana,Italy,70798
231,2020-12-05,Umbria,Italy,17817
232,2020-12-05,Valle d'Aosta,Italy,5240
233,2020-12-05,Veneto,Italy,81204
234,2020-12-05,Aichi,Japan,8640
235,2020-12-05,Akita,Japan,79
236,2020-12-05,Aomori,Japan,269
237,2020-12-05,Chiba,Japan,6342
238,2020-12-05,Ehime,Japan,184
239,2020-12-05,Fukui,Japan,288
240,2020-12-05,Fukuoka,Japan,5467
241,2020-12-05,Fukushima,Japan,452
242,2020-12-05,Gifu,Japan,913
243,2020-12-05,Gunma,Japan,1025
244,2020-12-05,Hiroshima,Japan,755
245,2020-12-05,Hokkaido,Japan,6867
246,2020-12-05,Hyogo,Japan,5047
247,2020-12-05,Ibaraki,Japan,1299
248,2020-12-05,Ishikawa,Japan,788
249,2020-12-05,Iwate,Japan,131
250,2020-12-05,Kagawa,Japan,124
251,2020-12-05,Kagoshima,Japan,593
252,2020-12-05,Kanagawa,Japan,11564
253,2020-12-05,Kochi,Japan,146
254,2020-12-05,Kumamoto,Japan,948
255,2020-12-05,Kyoto,Japan,2461
256,2020-12-05,Mie,Japan,710
257,2020-12-05,Miyagi,Japan,1092
258,2020-12-05,Miyazaki,Japan,437
259,2020-12-05,Nagano,Japan,638
260,2020-12-05,Nagasaki,Japan,255
261,2020-12-05,Nara,Japan,987
262,2020-12-05,Niigata,Japan,259
263,2020-12-05,Oita,Japan,221
264,2020-12-05,Okayama,Japan,468
265,2020-12-05,Okinawa,Japan,3960
266,2020-12-05,Osaka,Japan,16495
267,2020-12-05,Port Quarantine,Japan,1421
268,2020-12-05,Saga,Japan,292
269,2020-12-05,Saitama,Japan,7310
270,2020-12-05,Shiga,Japan,722
271,2020-12-05,Shimane,Japan,148
272,2020-12-05,Shizuoka,Japan,1206
273,2020-12-05,Tochigi,Japan,564
274,2020-12-05,Tokushima,Japan,167
275,2020-12-05,Tokyo,Japan,37669
276,2020-12-05,Tottori,Japan,52
277,2020-12-05,Toyama,Japan,417
278,2020-12-05,Unknown,Japan,8
279,2020-12-05,Wakayama,Japan,387
280,2020-12-05,Yamagata,Japan,112
281,2020-12-05,Yamaguchi,Japan,337
282,2020-12-05,Yamanashi,Japan,304
283,2020-12-05,Aguascalientes,Mexico,0
284,2020-12-05,Baja California,Mexico,0
285,2020-12-05,Baja California Sur,Mexico,0
286,2020-12-05,Campeche,Mexico,0
287,2020-12-05,Chiapas,Mexico,0
288,2020-12-05,Chihuahua,Mexico,0
289,2020-12-05,Ciudad de Mexico,Mexico,0
290,2020-12-05,Coahuila,Mexico,0
291,2020-12-05,Colima,Mexico,0
292,2020-12-05,Durango,Mexico,0
293,2020-12-05,Guanajuato,Mexico,0
294,2020-12-05,Guerrero,Mexico,0
295,2020-12-05,Hidalgo,Mexico,0
296,2020-12-05,Jalisco,Mexico,0
297,2020-12-05,Mexico,Mexico,0
298,2020-12-05,Michoacan,Mexico,0
299,2020-12-05,Morelos,Mexico,0
300,2020-12-05,Nayarit,Mexico,0
301,2020-12-05,Nuevo Leon,Mexico,0
302,2020-12-05,Oaxaca,Mexico,0
303,2020-12-05,Puebla,Mexico,0
304,2020-12-05,Queretaro,Mexico,0
305,2020-12-05,Quintana Roo,Mexico,0
306,2020-12-05,San Luis Potosi,Mexico,0
307,2020-12-05,Sinaloa,Mexico,0
308,2020-12-05,Sonora,Mexico,0
309,2020-12-05,Tabasco,Mexico,0
310,2020-12-05,Tamaulipas,Mexico,0
311,2020-12-05,Tlaxcala,Mexico,0
312,2020-12-05,Unknown,Mexico,852719
313,2020-12-05,Veracruz,Mexico,0
