,Date,State,Country,Deaths
0,2020-12-05,Australian Capital Territory,Australia,3
1,2020-12-05,New South Wales,Australia,53
2,2020-12-05,Northern Territory,Australia,0
3,2020-12-05,Queensland,Australia,6
4,2020-12-05,South Australia,Australia,4
5,2020-12-05,Tasmania,Australia,13
6,2020-12-05,Victoria,Australia,820
7,2020-12-05,Western Australia,Australia,9
8,2020-12-05,Antwerp,Belgium,0
9,2020-12-05,Brussels,Belgium,0
10,2020-12-05,East Flanders,Belgium,0
11,2020-12-05,Flemish Brabant,Belgium,0
12,2020-12-05,Hainaut,Belgium,0
13,2020-12-05,Liege,Belgium,0
14,2020-12-05,Limburg,Belgium,0
15,2020-12-05,Luxembourg,Belgium,0
16,2020-12-05,Namur,Belgium,0
17,2020-12-05,Unknown,Belgium,17142
18,2020-12-05,Walloon Brabant,Belgium,0
19,2020-12-05,West Flanders,Belgium,0
20,2020-12-05,Acre,Brazil,731
21,2020-12-05,Alagoas,Brazil,2349
22,2020-12-05,Amapa,Brazil,823
23,2020-12-05,Amazonas,Brazil,4936
24,2020-12-05,Bahia,Brazil,8360
25,2020-12-05,Ceara,Brazil,9683
26,2020-12-05,Distrito Federal,Brazil,3968
27,2020-12-05,Espirito Santo,Brazil,4374
28,2020-12-05,Goias,Brazil,6438
29,2020-12-05,Maranhao,Brazil,4330
30,2020-12-05,Mato Grosso,Brazil,4123
31,2020-12-05,Mato Grosso do Sul,Brazil,1818
32,2020-12-05,Minas Gerais,Brazil,10227
33,2020-12-05,Para,Brazil,6939
34,2020-12-05,Paraiba,Brazil,3338
35,2020-12-05,Parana,Brazil,6359
36,2020-12-05,Pernambuco,Brazil,9119
37,2020-12-05,Piaui,Brazil,2658
38,2020-12-05,Rio Grande do Norte,Brazil,2715
39,2020-12-05,Rio Grande do Sul,Brazil,7104
40,2020-12-05,Rio de Janeiro,Brazil,23017
41,2020-12-05,Rondonia,Brazil,1589
42,2020-12-05,Roraima,Brazil,740
43,2020-12-05,Santa Catarina,Brazil,3939
44,2020-12-05,Sao Paulo,Brazil,42788
45,2020-12-05,Sergipe,Brazil,2324
46,2020-12-05,Tocantins,Brazil,1175
47,2020-12-05,Alberta,Canada,590
48,2020-12-05,British Columbia,Canada,492
49,2020-12-05,Diamond Princess,Canada,1
50,2020-12-05,Grand Princess,Canada,0
51,2020-12-05,Manitoba,Canada,362
52,2020-12-05,New Brunswick,Canada,7
53,2020-12-05,Newfoundland and Labrador,Canada,4
54,2020-12-05,Northwest Territories,Canada,0
55,2020-12-05,Nova Scotia,Canada,65
56,2020-12-05,Nunavut,Canada,0
57,2020-12-05,Ontario,Canada,3759
58,2020-12-05,Prince Edward Island,Canada,0
59,2020-12-05,Quebec,Canada,7183
60,2020-12-05,Repatriated Travellers,Canada,0
61,2020-12-05,Saskatchewan,Canada,55
62,2020-12-05,Yukon,Canada,1
63,2020-12-05,Antofagasta,Chile,565
64,2020-12-05,Araucania,Chile,241
65,2020-12-05,Arica y Parinacota,Chile,209
66,2020-12-05,Atacama,Chile,107
67,2020-12-05,Aysen,Chile,14
68,2020-12-05,Biobio,Chile,626
69,2020-12-05,Coquimbo,Chile,274
70,2020-12-05,Los Lagos,Chile,213
71,2020-12-05,Los Rios,Chile,59
72,2020-12-05,Magallanes,Chile,203
73,2020-12-05,Maule,Chile,500
74,2020-12-05,Metropolitana,Chile,10395
75,2020-12-05,Nuble,Chile,183
76,2020-12-05,OHiggins,Chile,548
77,2020-12-05,Tarapaca,Chile,259
78,2020-12-05,Unknown,Chile,1
79,2020-12-05,Valparaiso,Chile,1161
80,2020-12-05,Anhui,China,6
81,2020-12-05,Beijing,China,9
82,2020-12-05,Chongqing,China,6
83,2020-12-05,Fujian,China,1
84,2020-12-05,Gansu,China,2
85,2020-12-05,Guangdong,China,8
86,2020-12-05,Guangxi,China,2
87,2020-12-05,Guizhou,China,2
88,2020-12-05,Hainan,China,6
89,2020-12-05,Hebei,China,6
90,2020-12-05,Heilongjiang,China,13
91,2020-12-05,Henan,China,22
92,2020-12-05,Hong Kong,China,112
93,2020-12-05,Hubei,China,4512
94,2020-12-05,Hunan,China,4
95,2020-12-05,Inner Mongolia,China,1
96,2020-12-05,Jiangsu,China,0
97,2020-12-05,Jiangxi,China,1
98,2020-12-05,Jilin,China,2
99,2020-12-05,Liaoning,China,2
100,2020-12-05,Macau,China,0
101,2020-12-05,Ningxia,China,0
102,2020-12-05,Qinghai,China,0
103,2020-12-05,Shaanxi,China,3
104,2020-12-05,Shandong,China,7
105,2020-12-05,Shanghai,China,7
106,2020-12-05,Shanxi,China,0
107,2020-12-05,Sichuan,China,3
108,2020-12-05,Tianjin,China,3
109,2020-12-05,Tibet,China,0
110,2020-12-05,Xinjiang,China,3
111,2020-12-05,Yunnan,China,2
112,2020-12-05,Zhejiang,China,1
113,2020-12-05,Amazonas,Colombia,123
114,2020-12-05,Antioquia,Colombia,4154
115,2020-12-05,Arauca,Colombia,118
116,2020-12-05,Atlantico,Colombia,3217
117,2020-12-05,Bolivar,Colombia,927
118,2020-12-05,Boyaca,Colombia,492
119,2020-12-05,Caldas,Colombia,499
120,2020-12-05,Capital District,Colombia,8656
121,2020-12-05,Caqueta,Colombia,480
122,2020-12-05,Casanare,Colombia,152
123,2020-12-05,Cauca,Colombia,450
124,2020-12-05,Cesar,Colombia,923
125,2020-12-05,Choco,Colombia,166
126,2020-12-05,Cordoba,Colombia,1657
127,2020-12-05,Cundinamarca,Colombia,1445
128,2020-12-05,Guainia,Colombia,19
129,2020-12-05,Guaviare,Colombia,32
130,2020-12-05,Huila,Colombia,984
131,2020-12-05,La Guajira,Colombia,481
132,2020-12-05,Magdalena,Colombia,988
133,2020-12-05,Meta,Colombia,641
134,2020-12-05,Narino,Colombia,857
135,2020-12-05,Norte de Santander,Colombia,1429
136,2020-12-05,Putumayo,Colombia,229
137,2020-12-05,Quindio,Colombia,476
138,2020-12-05,Risaralda,Colombia,583
139,2020-12-05,San Andres y Providencia,Colombia,33
140,2020-12-05,Santander,Colombia,2062
141,2020-12-05,Sucre,Colombia,656
142,2020-12-05,Tolima,Colombia,942
143,2020-12-05,Unknown,Colombia,0
144,2020-12-05,Valle del Cauca,Colombia,3572
145,2020-12-05,Vaupes,Colombia,12
146,2020-12-05,Vichada,Colombia,12
147,2020-12-05,Faroe Islands,Denmark,0
148,2020-12-05,Greenland,Denmark,0
149,2020-12-05,French Guiana,France,71
150,2020-12-05,French Polynesia,France,79
151,2020-12-05,Guadeloupe,France,149
152,2020-12-05,Martinique,France,41
153,2020-12-05,Mayotte,France,49
154,2020-12-05,New Caledonia,France,0
155,2020-12-05,Reunion,France,41
156,2020-12-05,Saint Barthelemy,France,1
157,2020-12-05,Saint Pierre and Miquelon,France,0
158,2020-12-05,St Martin,France,12
159,2020-12-05,Baden-Wurttemberg,Germany,2978
160,2020-12-05,Bayern,Germany,4249
161,2020-12-05,Berlin,Germany,657
162,2020-12-05,Brandenburg,Germany,448
163,2020-12-05,Bremen,Germany,133
164,2020-12-05,Hamburg,Germany,404
165,2020-12-05,Hessen,Germany,1441
166,2020-12-05,Mecklenburg-Vorpommern,Germany,73
167,2020-12-05,Niedersachsen,Germany,1256
168,2020-12-05,Nordrhein-Westfalen,Germany,3892
169,2020-12-05,Rheinland-Pfalz,Germany,644
170,2020-12-05,Saarland,Germany,298
171,2020-12-05,Sachsen,Germany,1224
172,2020-12-05,Sachsen-Anhalt,Germany,202
173,2020-12-05,Schleswig-Holstein,Germany,264
174,2020-12-05,Thuringen,Germany,414
175,2020-12-05,Unknown,Germany,0
176,2020-12-05,Andaman and Nicobar Islands,India,61
177,2020-12-05,Andhra Pradesh,India,7020
178,2020-12-05,Arunachal Pradesh,India,55
179,2020-12-05,Assam,India,987
180,2020-12-05,Bihar,India,1287
181,2020-12-05,Chandigarh,India,287
182,2020-12-05,Chhattisgarh,India,2956
183,2020-12-05,Dadra and Nagar Haveli and Daman and Diu,India,2
184,2020-12-05,Delhi,India,9497
185,2020-12-05,Goa,India,696
186,2020-12-05,Gujarat,India,4049
187,2020-12-05,Haryana,India,2539
188,2020-12-05,Himachal Pradesh,India,708
189,2020-12-05,Jammu and Kashmir,India,1730
190,2020-12-05,Jharkhand,India,978
191,2020-12-05,Karnataka,India,11834
192,2020-12-05,Kerala,India,2358
193,2020-12-05,Ladakh,India,120
194,2020-12-05,Lakshadweep,India,0
195,2020-12-05,Madhya Pradesh,India,3314
196,2020-12-05,Maharashtra,India,47599
197,2020-12-05,Manipur,India,295
198,2020-12-05,Meghalaya,India,118
199,2020-12-05,Mizoram,India,6
200,2020-12-05,Nagaland,India,65
201,2020-12-05,Odisha,India,1760
202,2020-12-05,Puducherry,India,614
203,2020-12-05,Punjab,India,4882
204,2020-12-05,Rajasthan,India,2389
205,2020-12-05,Sikkim,India,112
206,2020-12-05,Tamil Nadu,India,11762
207,2020-12-05,Telangana,India,1470
208,2020-12-05,Tripura,India,372
209,2020-12-05,Unknown,India,0
210,2020-12-05,Uttar Pradesh,India,7877
211,2020-12-05,Uttarakhand,India,1273
212,2020-12-05,West Bengal,India,8628
213,2020-12-05,Abruzzo,Italy,955
214,2020-12-05,Basilicata,Italy,161
215,2020-12-05,Calabria,Italy,329
216,2020-12-05,Campania,Italy,1903
217,2020-12-05,Emilia-Romagna,Italy,6022
218,2020-12-05,Friuli Venezia Giulia,Italy,977
219,2020-12-05,Lazio,Italy,2576
220,2020-12-05,Liguria,Italy,2474
221,2020-12-05,Lombardia,Italy,22773
222,2020-12-05,Marche,Italy,1305
223,2020-12-05,Molise,Italy,129
224,2020-12-05,P.A. Bolzano,Italy,569
225,2020-12-05,P.A. Trento,Italy,680
226,2020-12-05,Piemonte,Italy,6506
227,2020-12-05,Puglia,Italy,1660
228,2020-12-05,Sardegna,Italy,511
229,2020-12-05,Sicilia,Italy,1689
230,2020-12-05,Toscana,Italy,2798
231,2020-12-05,Umbria,Italy,444
232,2020-12-05,Valle d'Aosta,Italy,326
233,2020-12-05,Veneto,Italy,4065
234,2020-12-05,Aichi,Japan,113
235,2020-12-05,Akita,Japan,1
236,2020-12-05,Aomori,Japan,6
237,2020-12-05,Chiba,Japan,89
238,2020-12-05,Ehime,Japan,6
239,2020-12-05,Fukui,Japan,11
240,2020-12-05,Fukuoka,Japan,108
241,2020-12-05,Fukushima,Japan,9
242,2020-12-05,Gifu,Japan,15
243,2020-12-05,Gunma,Japan,20
244,2020-12-05,Hiroshima,Japan,6
245,2020-12-05,Hokkaido,Japan,224
246,2020-12-05,Hyogo,Japan,86
247,2020-12-05,Ibaraki,Japan,24
248,2020-12-05,Ishikawa,Japan,51
249,2020-12-05,Iwate,Japan,4
250,2020-12-05,Kagawa,Japan,2
251,2020-12-05,Kagoshima,Japan,15
252,2020-12-05,Kanagawa,Japan,208
253,2020-12-05,Kochi,Japan,4
254,2020-12-05,Kumamoto,Japan,14
255,2020-12-05,Kyoto,Japan,38
256,2020-12-05,Mie,Japan,8
257,2020-12-05,Miyagi,Japan,9
258,2020-12-05,Miyazaki,Japan,1
259,2020-12-05,Nagano,Japan,6
260,2020-12-05,Nagasaki,Japan,3
261,2020-12-05,Nara,Japan,12
262,2020-12-05,Niigata,Japan,0
263,2020-12-05,Oita,Japan,3
264,2020-12-05,Okayama,Japan,11
265,2020-12-05,Okinawa,Japan,74
266,2020-12-05,Osaka,Japan,314
267,2020-12-05,Port Quarantine,Japan,1
268,2020-12-05,Saga,Japan,2
269,2020-12-05,Saitama,Japan,150
270,2020-12-05,Shiga,Japan,11
271,2020-12-05,Shimane,Japan,0
272,2020-12-05,Shizuoka,Japan,13
273,2020-12-05,Tochigi,Japan,2
274,2020-12-05,Tokushima,Japan,9
275,2020-12-05,Tokyo,Japan,484
276,2020-12-05,Tottori,Japan,0
277,2020-12-05,Toyama,Japan,26
278,2020-12-05,Unknown,Japan,0
279,2020-12-05,Wakayama,Japan,6
280,2020-12-05,Yamagata,Japan,1
281,2020-12-05,Yamaguchi,Japan,2
282,2020-12-05,Yamanashi,Japan,8
283,2020-12-05,Aguascalientes,Mexico,1138
284,2020-12-05,Baja California,Mexico,4435
285,2020-12-05,Baja California Sur,Mexico,677
286,2020-12-05,Campeche,Mexico,923
287,2020-12-05,Chiapas,Mexico,1173
288,2020-12-05,Chihuahua,Mexico,3817
289,2020-12-05,Ciudad de Mexico,Mexico,13911
290,2020-12-05,Coahuila,Mexico,3492
291,2020-12-05,Colima,Mexico,755
292,2020-12-05,Durango,Mexico,1272
293,2020-12-05,Guanajuato,Mexico,4208
294,2020-12-05,Guerrero,Mexico,2503
295,2020-12-05,Hidalgo,Mexico,2786
296,2020-12-05,Jalisco,Mexico,4969
297,2020-12-05,Mexico,Mexico,16035
298,2020-12-05,Michoacan,Mexico,2377
299,2020-12-05,Morelos,Mexico,1310
300,2020-12-05,Nayarit,Mexico,939
301,2020-12-05,Nuevo Leon,Mexico,4651
302,2020-12-05,Oaxaca,Mexico,1960
303,2020-12-05,Puebla,Mexico,5215
304,2020-12-05,Queretaro,Mexico,1503
305,2020-12-05,Quintana Roo,Mexico,1952
306,2020-12-05,San Luis Potosi,Mexico,2594
307,2020-12-05,Sinaloa,Mexico,4019
308,2020-12-05,Sonora,Mexico,3508
309,2020-12-05,Tabasco,Mexico,3073
310,2020-12-05,Tamaulipas,Mexico,3015
311,2020-12-05,Tlaxcala,Mexico,1294
312,2020-12-05,Unknown,Mexico,0
313,2020-12-05,Veracruz,Mexico,5895
314,2020-12-05,Yucatan,Mexico,2054
315,2020-12-05,Zacatecas,Mexico,1410
316,2020-12-05,Aruba,Netherlands,45
317,2020-12-05,"Bonaire, Sint Eustatius and Saba",Netherlands,3
318,2020-12-05,Curacao,Netherlands,7
319,2020-12-05,Drenthe,Netherlands,114
320,2020-12-05,Flevoland,Netherlands,144
321,2020-12-05,Friesland,Netherlands,139
322,2020-12-05,Gelderland,Netherlands,1082
323,2020-12-05,Groningen,Netherlands,52
324,2020-12-05,Limburg,Netherlands,897
325,2020-12-05,Noord-Brabant,Netherlands,2077
326,2020-12-05,Noord-Holland,Netherlands,1324
327,2020-12-05,Overijssel,Netherlands,552
328,2020-12-05,Sint Maarten,Netherlands,26
329,2020-12-05,Unknown,Netherlands,27
330,2020-12-05,Utrecht,Netherlands,706
331,2020-12-05,Zeeland,Netherlands,104
332,2020-12-05,Zuid-Holland,Netherlands,2405
333,2020-12-05,Azad Jammu and Kashmir,Pakistan,175
334,2020-12-05,Balochistan,Pakistan,169
335,2020-12-05,Gilgit-Baltistan,Pakistan,98
336,2020-12-05,Islamabad,Pakistan,334
337,2020-12-05,Khyber Pakhtunkhwa,Pakistan,1399
338,2020-12-05,Punjab,Pakistan,3137
339,2020-12-05,Sindh,Pakistan,2991
340,2020-12-05,Amazonas,Peru,243
341,2020-12-05,Ancash,Peru,1429
342,2020-12-05,Apurimac,Peru,138
343,2020-12-05,Arequipa,Peru,1539
344,2020-12-05,Ayacucho,Peru,356
345,2020-12-05,Cajamarca,Peru,564
346,2020-12-05,Callao,Peru,1909
347,2020-12-05,Cusco,Peru,494
