,Date,State,Country,Confirmed
0,2020-11-18,Australian Capital Territory,Australia,115
1,2020-11-18,New South Wales,Australia,4509
2,2020-11-18,Northern Territory,Australia,46
3,2020-11-18,Queensland,Australia,1187
4,2020-11-18,South Australia,Australia,551
5,2020-11-18,Tasmania,Australia,230
6,2020-11-18,Victoria,Australia,20345
7,2020-11-18,Western Australia,Australia,794
8,2020-11-18,Antwerp,Belgium,62821
9,2020-11-18,Brussels,Belgium,72985
10,2020-11-18,East Flanders,Belgium,48987
11,2020-11-18,Flemish Brabant,Belgium,41477
12,2020-11-18,Hainaut,Belgium,87039
13,2020-11-18,Liege,Belgium,87808
14,2020-11-18,Limburg,Belgium,22305
15,2020-11-18,Luxembourg,Belgium,15070
16,2020-11-18,Namur,Belgium,30517
17,2020-11-18,Unknown,Belgium,8951
18,2020-11-18,Walloon Brabant,Belgium,22076
19,2020-11-18,West Flanders,Belgium,40569
20,2020-11-18,Acre,Brazil,33475
21,2020-11-18,Alagoas,Brazil,92815
22,2020-11-18,Amapa,Brazil,55382
23,2020-11-18,Amazonas,Brazil,170458
24,2020-11-18,Bahia,Brazil,375374
25,2020-11-18,Ceara,Brazil,287242
26,2020-11-18,Distrito Federal,Brazil,221031
27,2020-11-18,Espirito Santo,Brazil,172924
28,2020-11-18,Goias,Brazil,269217
29,2020-11-18,Maranhao,Brazil,189936
30,2020-11-18,Mato Grosso,Brazil,152674
31,2020-11-18,Mato Grosso do Sul,Brazil,88965
32,2020-11-18,Minas Gerais,Brazil,385427
33,2020-11-18,Para,Brazil,262345
34,2020-11-18,Paraiba,Brazil,139776
35,2020-11-18,Parana,Brazil,243115
36,2020-11-18,Pernambuco,Brazil,171890
37,2020-11-18,Piaui,Brazil,120466
38,2020-11-18,Rio Grande do Norte,Brazil,84154
39,2020-11-18,Rio Grande do Sul,Brazil,283351
40,2020-11-18,Rio de Janeiro,Brazil,330009
41,2020-11-18,Rondonia,Brazil,75652
42,2020-11-18,Roraima,Brazil,60790
43,2020-11-18,Santa Catarina,Brazil,302578
44,2020-11-18,Sao Paulo,Brazil,1178075
45,2020-11-18,Sergipe,Brazil,86273
